name,score,price
"gaming",0.48245656,1699.0
"design",0.4812391,1699.0
"dev",0.5355194,1699.0
"study",0.62565815,3099.0
"gaming",0.5017212,3099.0
"design",0.5194612,3099.0
"dev",0.5876402,3099.0
"study",0.5809286,2309.0
"gaming",0.47901642,2309.0
"design",0.48136353,2309.0
"dev",0.5361362,2309.0
"study",0.59085256,4099.0
"gaming",0.43963596,4099.0
"design",0.4396695,4099.0
"dev",0.5314996,4099.0
"study",0.6294677,3649.0
"gaming",0.5134238,3649.0
"design",0.533966,3649.0
"dev",0.59293044,3649.0
"study",0.59110624,2799.0
"gaming",0.49920473,2799.0
"design",0.5223302,2799.0
"dev",0.572694,2799.0
"study",0.44500592,999.0
"gaming",0.4380256,999.0
"design",0.4215865,999.0
"dev",0.47141135,999.0
"study",0.61488587,3589.0
"gaming",0.50500494,3589.0
"design",0.5169301,3589.0
"dev",0.57514596,3589.0
"study",0.6487113,6890.0
"gaming",0.52099216,6890.0
"design",0.54572177,6890.0
"dev",0.612186,6890.0
"study",0.5149841,1399.0
"gaming",0.46149462,1399.0
"design",0.42545322,1399.0
"dev",0.514606,1399.0
"study",0.60147166,2649.0
"gaming",0.50343454,2649.0
"design",0.51324713,2649.0
"dev",0.57015,2649.0
"study",0.6419762,4030.0
"gaming",0.51448596,4030.0
"design",0.53623855,4030.0
"dev",0.59479,4030.0
"study",0.59034604,2329.0
"gaming",0.48939985,2329.0
"design",0.5062921,2329.0
"dev",0.56238574,2329.0
"study",0.57170767,1849.0
"gaming",0.48270312,1849.0
"design",0.4817667,1849.0
"dev",0.53595114,1849.0
"study",0.6043366,3679.0
"gaming",0.5261626,3679.0
"design",0.52637935,3679.0
"dev",0.577243,3679.0
"study",0.74354297,6549.0
"gaming",0.64564264,6549.0
"design",0.65612185,6549.0
"dev",0.6937067,6549.0
"study",0.60229236,3449.0
"gaming",0.50194776,3449.0
"design",0.5178022,3449.0
"dev",0.5708237,3449.0
"study",0.63653773,4169.0
"gaming",0.5335152,4169.0
"design",0.5375384,4169.0
"dev",0.5971061,4169.0
"study",0.61691403,2559.0
"gaming",0.49297714,2559.0
"design",0.5086875,2559.0
